G041 99.070 40.280 -11.99 -4.58 0.98 0.98 -0.000
G042 104.510 40.740 -12.50 -0.51 0.99 0.99 -0.000
G043 104.810 40.160 -11.48 -0.38 0.91 0.91 -0.004
G044 100.150 39.720 -11.36 -3.79 0.71 0.71 0.000
G045 100.790 39.610 -10.95 -3.29 0.95 0.95 0.001
G046 102.780 39.410 -10.56 -1.50 0.71 0.71 -0.000
G047 101.660 39.220 -10.09 -3.44 0.62 0.62 -0.003
G048 100.320 39.240 -10.78 -3.81 0.97 0.97 -0.001
G049 102.570 39.130 -9.61 -1.34 0.71 0.71 -0.001
G050 103.360 38.850 -8.77 -1.57 0.98 0.98 -0.000
G051 100.730 38.880 -9.45 -2.36 0.91 0.91 0.000
G052 101.190 38.720 -10.47 -2.95 0.97 0.97 0.000
G053 103.190 38.540 -7.48 0.34 0.77 0.77 0.001
G054 100.350 38.610 -8.20 -2.17 0.99 0.99 -0.001
G055 101.350 38.160 -6.48 -1.87 0.77 0.77 -0.000
G056 102.890 38.420 -7.64 -1.08 0.71 0.71 -0.000
G057 102.150 38.430 -7.34 -0.90 0.97 0.97 -0.002
G058 101.740 38.300 -7.26 -1.55 0.17 0.17 -0.000
G059 100.830 38.350 -7.89 -2.14 0.74 0.74 -0.001
G060 102.110 38.280 -7.35 -1.15 0.71 0.71 -0.000
G061 102.260 38.140 -7.18 -1.28 0.19 0.19 0.001
G062 100.240 38.180 -6.86 -2.29 0.19 0.19 0.001
G063 102.640 37.780 -6.13 -0.57 0.71 0.71 -0.002
G064 102.320 37.960 -5.85 -0.91 0.71 0.71 -0.002
G065 100.940 37.970 -5.63 -1.62 0.99 0.99 0.000
G066 102.620 37.510 -3.90 0.32 0.97 0.97 -0.001
G067 104.330 37.450 -5.53 1.00 0.71 0.71 -0.001
G068 103.380 37.560 -6.07 0.05 1.19 1.19 -0.000
G069 102.850 37.440 -3.92 -0.63 0.58 0.58 0.000
G070 101.400 37.460 -1.71 -1.33 0.69 0.69 0.000
G071 100.430 37.610 -2.16 -1.69 0.74 0.74 0.000
G072 104.090 37.240 -4.18 0.53 0.71 0.71 -0.001
G073 102.980 37.150 -2.26 0.41 0.73 0.73 -0.001
G074 102.010 37.320 -2.15 -0.35 0.98 0.98 0.000
G075 100.160 37.310 -1.28 -2.48 0.72 0.72 -0.000
G076 100.480 37.220 -1.58 -1.33 0.71 0.71 -0.000
G077 104.630 36.910 -1.55 0.02 0.71 0.71 -0.000
G079 103.160 36.890 -0.53 0.30 0.94 0.94 0.000
G080 101.630 36.980 -0.22 -1.07 0.70 0.70 -0.000
G081 102.560 36.890 -1.13 0.25 0.99 0.99 -0.000
