G013	105.98	36.28	-1.7	0.71	6.6	0.71	-0.0006	0.8	1.52	-0.6	1.58
G014	105.29	36.50	-2.3	0.94	8.5	0.94	0.0006	2.3	1.16	0.9	1.23
G015	105.62	36.28	-2.1	0.79	8.6	0.79	-0.0018	3.5	1.90	2.1	1.95
G016	106.65	36.10	-2.9	0.94	4.9	0.95	-0.0043	1.6	1.19	0.2	1.26
G017	106.22	36.02	-3.0	0.17	5.2	0.17	-0.0013	2.1	0.82	0.7	0.92
G018	105.80	35.96	-4.4	0.96	6.1	0.96	0.0009	3.5	1.28	2.1	1.34
G019	104.96	36.09	-1.5	0.71	8.0	0.72	-0.0006	2.1	1.56	0.7	1.61
G020	106.20	35.67	-3.1	0.96	6.1	0.96	-0.0020	3.0	1.25	1.6	1.32
G021	105.01	35.73	-0.5	0.98	7.2	0.98	0.0002	1.0	1.38	-0.4	1.44
G022	106.12	35.60	-4.4	0.71	5.2	0.71	-0.0005	0.4	1.54	-1.0	1.59
G023	105.50	35.61	-2.2	0.71	6.9	0.71	-0.0013	-0.9	1.52	-2.3	1.57
G024	106.58	35.46	-4.2	0.99	5.8	0.99	-0.0001	1.7	1.43	0.3	1.49
G025	106.40	35.46	-3.2	0.72	7.6	0.72	-0.0003	0.5	1.54	-0.9	1.60
G026	105.02	35.41	-2.4	0.91	5.5	0.91	-0.0014	2.3	1.05	0.8	1.13
G027	106.53	35.24	-3.3	0.91	6.9	0.91	-0.0012	1.8	1.01	0.4	1.09
G028	106.01	35.17	-3.2	0.78	6.6	0.78	-0.0011	2.5	1.87	1.0	1.92
G030	105.79	35.08	-3.3	0.71	5.4	0.71	-0.0007	1.8	1.53	0.4	1.59
G031	106.21	35.01	-5.2	0.77	5.8	0.76	-0.0086	4.2	1.70	2.8	1.75
G032	106.82	34.89	-4.0	0.71	4.8	0.71	-0.0008	1.3	1.52	-0.1	1.57
G033	105.65	34.87	-4.2	0.95	4.5	0.95	-0.0009	2.4	1.23	0.9	1.29
G034	106.16	34.75	-3.4	0.69	5.8	0.69	0.0010	2.2	1.11	0.8	1.18
G035	105.37	34.79	-3.2	0.98	5.8	0.98	-0.0004	2.5	1.38	1.1	1.44
G036	106.40	34.52	-4.1	0.71	4.6	0.71	-0.0006	2.4	1.53	0.9	1.58
G037	105.70	34.59	-3.4	0.70	5.7	0.71	-0.0010	2.3	1.50	0.9	1.56
G038	107.14	34.43	-4.6	0.95	3.9	0.95	-0.0015	1.9	1.24	0.5	1.31
G039	105.81	34.25	-4.2	0.71	5.1	0.71	0.0011	2.1	1.54	0.7	1.59
G040	101.06	41.96	-0.6	0.72	2.2	0.72	-0.0026	0.7	1.54	-0.8	1.59
G041	99.07	40.28	0.7	0.98	1.8	0.98	-0.0001	-0.5	1.41	-1.9	1.46
G042	104.51	40.74	-1.2	0.99	2.0	0.99	-0.0004	2.6	1.43	1.2	1.49
G043	104.81	40.16	-1.4	0.91	2.3	0.91	-0.0036	2.2	1.00	0.8	1.08
G044	100.15	39.72	0.3	0.71	1.8	0.71	0.0000	2.1	1.52	0.7	1.57
