C824 -382.809 250.327
CABA -109.887 89.6091
CABL -748.882 1107.2
CACT -36.982 61.128
CADG -66.1582 -193.424
CAHA -252.882 114.895
CAHU -63.2841 59.0776
CAJO -172.128 137.501
CALA -282.374 115.669
CALI 8.40214 7.76786
CALL -494.177 396.006
CAMP -201.222 123.759
CAND -440.406 319.434
CARG -440.326 313.731
CARH -440.343 313.765
CARR -440.343 313.765
CARY -106.084 48.5393
CASO -295.389 109.853
CAT1 -268.481 38.4487
CAT2 -254.802 23.3808
CATO -295.398 109.864
CAUV -389.686 253.243
CBAR -425.869 298.593
CBHS -280.911 115.479
CCCC -191.464 272.698
CDMT -69.9136 191.092
CEN2 -384.925 101.763
CENT -384.917 101.752
CERR -201.068 380.633
CGDM -219.492 126.387
CHAB -581.931 524.314
CHAF -345.163 134.702
CHEC -453.853 323.363
CHER -126.189 99.2227
CHIC -227.907 67.2962
CHIL -225.019 136.356
CHIQ -187.689 54.8417
CHLN -506.721 378.54
CHLO -109.706 403.532
CHMS -206.499 170.244
CHO1 -532.205 711.936
CHP2 -263.415 227.084
CHRN -284.381 131.087
CHT3 -281.723 128.614
CHTW -281.695 128.636
CHUK -61.2578 162.463
CHUR 1177.8 3078.33
CHZZ -675.923 1397.49
CIC1 -99.0284 -137.092
CICE -99.18 -137.026
CIRX -309.328 112.758
CIT1 -234.579 114.642
CJCK -81.2297 267.004
CJGG -96.7006 -137.384
CJMS -174.748 133.81
CLAR -196.012 111.324
CLSA -165.767 99.3756
CMBB -427.825 551.779
CME1 -758.174 839.903
CMP9 -260.442 138.977
CNDR -506.895 539.714
CNPP -186.964 83.2891
COAC 17.8492 10.9236
COCH -52.6737 70.4349
COLL 9.52965 -30.1543
COLO -55.4905 -222.216
COND -52.5183 -70.7506
COPR -395.296 148.677
CORV -631.123 1293.03
CORX -153.977 -76.7365
COSO -203.561 319.043
COTD -73.844 69.4207
COTR -329.294 114.334
COXO 32.9976 104.808
CP12 59.9276 -110.195
CP13 64.2481 -105.077
CPBN -182.882 217.9
CPEI 65.8358 -93.034
CPVO 28.5058 -75.1818
CRAF -138.53 105.722
CRAT -92.2213 410.382
CRAV -102.881 48.2486
CRBT -469.655 304.085
CRFP -139.843 103.251
CRHS -248.426 80.0698
CRRS -12.5579 -3.50838
CRU1 -387.76 105.658
CRUC -341.981 132.887
CRVO -442.639 375.752
CSCI -318.579 119.462
CSDH -246.885 84.2652
CSN1 -270.946 128.07
CSST -348.585 146.711
CTDM -278.715 157.364
CTMS -72.5818 112.85
CUTT -186.254 139.172
CUYA -357.989 204.62
CVHS -213.831 108.37
CVM1 -451.41 379.185
D138 -84.0585 51.4701
D559 -395.473 251.668
DAM1 -259.184 136.83
DAM2 -259.137 136.918
DANA -196.551 39.7303
DANT -105.971 345.839
DASH -138.634 58.5229
DAWS -238.332 77.311
DAYZ -180.204 118.169
DBAR -204.101 99.5512
DBL1 -266.263 214.501
DDSN -638.679 1129.72
DECH -314.07 550.348
DEER -268.091 220.353
DELO -269.77 128.507
DESO 17.5787 68.4714
DHLG -17.9169 31.913
DIAB -563.058 540.506
DIVI -273.955 111.344
DMAS -204.872 116.479
DOSP -400.113 161.206
DRAO -321.386 1803.39
DSHO -41.6602 32.464
DSHS -255.14 102.381
DSSC -103.97 69.3779
DUBO 1368.86 2121.3
DUNP -64.0103 71.469
DVLE -130.705 65.7152
DVLS -135.607 64.6632
DVNW -136.767 62.7014
DVPB -209.682 145.085
DYHS -234.701 92.6077
E122 0.95745 -33.2772
ECCO -253.537 87.1547
ECFS -168.816 59.926
ECMO -112.993 243.03
ECRK -227.811 124.351
