time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2004-07-31T18:17:05.210Z,37.066,102.061,40.4,4.2,mb,24,106,,0.55,pde,pde20040731181705210_40,2013-03-16T01:19:42.400Z,"Gansu-Qinghai border region, China",earthquake
2004-05-27T22:53:19.990Z,35.715,104.116,10,0,,10,167.2,,1.12,pde,pde20040527225319990_10,2013-03-16T01:18:55.247Z,"Gansu, China",earthquake
2004-01-02T04:18:05.470Z,38.372,101.025,25.7,4.8,mb,21,155.5,,0.59,pde,pde20040102041805470_25,2013-03-16T01:17:03.018Z,"Gansu, China",earthquake
2003-11-13T02:35:10.340Z,34.712,103.834,10,5.1,mwc,245,35.4,,0.95,pde,pde20031113023510340_10,2014-03-18T08:52:18.193Z,"Gansu, China",earthquake
2003-10-29T22:09:27.200Z,38.429,101.084,10,0,,28,110.9,,0.74,pde,pde20031029220927200_10,2013-03-16T01:16:11.865Z,"Gansu, China",earthquake
2003-10-25T16:19:16.160Z,38.402,101.018,10,0,,11,119.4,,0.69,pde,pde20031025161916160_10,2013-03-16T01:16:09.592Z,"Gansu, China",earthquake
2003-10-25T14:34:41.460Z,38.277,101.31,10,4.7,mb,31,52.7,,1.49,pde,pde20031025143441460_10,2013-03-16T01:16:09.467Z,"Gansu, China",earthquake
2003-10-25T14:30:33.440Z,38.375,101.178,10,4.5,mb,34,44,,1.47,pde,pde20031025143033440_10,2013-03-16T01:16:09.464Z,"Gansu, China",earthquake
2003-10-25T13:29:38.330Z,38.181,101.037,10,0,,14,87.1,,1.36,pde,pde20031025132938330_10,2013-03-16T01:16:09.390Z,"Gansu, China",earthquake
2003-10-25T13:25:23.070Z,38.35,101.043,10,5.2,ms,97,42.4,,0.77,pde,pde20031025132523070_10,2013-03-16T01:16:09.379Z,"Gansu, China",earthquake
2003-07-02T07:44:10.870Z,37.079,103.92,33,4.5,mb,26,87,,0.91,pde,pde20030702074410870_33,2013-03-16T01:14:38.008Z,"Gansu, China",earthquake
2002-11-20T13:45:03.570Z,34.072,103.129,33,4.3,mb,16,,,0.77,pde,pde20021120134503570_33,2013-03-16T01:11:54.070Z,"Gansu, China",earthquake
2002-07-05T03:20:09.110Z,37.608,102.864,33,4.1,mb,13,,,1.05,pde,pde20020705032009110_33,2013-03-16T01:10:05.625Z,"Gansu-Qinghai border region, China",earthquake
2002-02-27T03:38:12.900Z,36.955,103.732,33,3.7,ml,9,,,1.29,pde,pde20020227033812900_33,2013-03-16T01:08:35.701Z,"Gansu, China",earthquake
2002-01-19T12:18:29.560Z,37.741,102.137,33,4.7,mb,39,,,1.21,pde,pde20020119121829560_33,2013-03-16T01:08:11.170Z,"Gansu-Qinghai border region, China",earthquake
2001-11-23T03:43:07.810Z,34.16,103.304,33,4.6,mb,41,,,1.1,pde,pde20011123034307810_33,2013-03-16T01:07:34.154Z,"Gansu, China",earthquake
2001-10-21T13:36:28.090Z,36.425,103.206,33,4.7,mb,48,,,0.9,pde,pde20011021133628090_33,2013-03-16T01:07:13.804Z,"Gansu, China",earthquake
2001-09-24T18:05:49.770Z,34.339,102.512,33,4.4,mb,38,,,1.17,pde,pde20010924180549770_33,2013-03-16T01:06:56.085Z,"Gansu, China",earthquake
2001-09-20T05:10:44.560Z,34.428,102.06,10,4.4,mb,19,,,1.18,pde,pde20010920051044560_10,2013-03-16T01:06:54.276Z,"Gansu, China",earthquake
2001-07-07T14:45:07.380Z,37.769,102.311,33,4.2,mb,11,,,0.79,pde,pde20010707144507380_33,2013-03-16T01:06:05.703Z,"Gansu-Qinghai border region, China",earthquake
2001-06-20T16:43:04.690Z,37.53,102.216,33,4.4,mb,15,,,1.01,pde,pde20010620164304690_33,2013-03-16T01:05:50.839Z,"Gansu-Qinghai border region, China",earthquake
2001-03-30T16:07:28.150Z,37.463,101.457,16.4,4.1,mb,17,,,0.92,pde,pde20010330160728150_16,2013-03-16T01:04:57.008Z,"northern Qinghai, China",earthquake
2000-12-26T17:43:19.530Z,37.186,104.054,33,4.2,mb,19,,,1.34,pde,pde20001226174319530_33,2013-03-16T01:03:58.345Z,"Nei Mongol-Ningxia-Gansu region, China",earthquake
2000-09-01T18:42:43.380Z,37.618,103.264,33.3,4.8,mb,76,,,1.01,pde,pde20000901184243380_33,2013-03-16T01:02:45.026Z,"Gansu, China",earthquake
2000-06-29T02:50:17.870Z,38.161,102.468,33,4,ml,8,,,1.38,pde,pde20000629025017870_33,2013-03-16T01:01:55.979Z,"Gansu, China",earthquake
2000-06-06T10:59:09.750Z,37.012,103.791,10,5.6,mwc,209,,,1.23,pde,pde20000606105909750_10,2014-03-18T07:15:36.271Z,"Gansu, China",earthquake
